civil_war,aid_change,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,neg_shock
0,-0.0028163520619273186,1.480293135577591,0,0,0,0,200,2,0,0,0,0,7.7221903800964355,16.463953018188477,0.18420781195163727,0,0.6582810282707214,0.2718000113964081,1,4.198704719543457,0,1975,FALSE
0,-0.00169325340539217,1.485150919602432,0,0,0,0,200,1,0,0,0,0,7.72725772857666,16.48975372314453,0.21837088465690613,0,0.6582810282707214,0.2718000113964081,1,4.198704719543457,0,1976,FALSE
0,0.0055882674641907215,2.620940767721216,1,0,0,0,200,1,0,0,0,0,7.6587419509887695,16.515552520751953,0.2829517126083374,0,0.6582810282707214,0.2718000113964081,1,4.198704719543457,0,1977,FALSE
1,1.4052819460630417e-4,1.6209854561048396,0,0,0,0,200,1,0.20892937534704062,0.11430212344304398,0.07716100629366904,0.21660111763783166,7.698686599731445,16.541353225708008,0.24193495512008667,0,0.6582810282707214,0.2718000113964081,1,4.198704719543457,0,1978,FALSE
0,0.031070526689291,4.5,3,0,0,1,165,1,0.3913004059229184,0.1727976170096469,0.11353628475374454,0,6.264863967895508,17.138954162597656,0.2666369676589966,0,0.6582810282707214,0.2718000113964081,0,4.198704719543457,0,2002,FALSE
1,0.07654206454753876,4,1,0,0,0,165,1,0.403462455213289,0.17116581559531896,0.16505631351402292,0,6.37694787979126,17.17300796508789,0.5229209661483765,0,0.6582810282707214,0.2718000113964081,0,4.198704719543457,0,2003,FALSE
0,0,1.739706644779025,0,0,0,0,63.099998474121094,0,0,0,0,0,8.284382820129395,14.691441535949707,0.416185587644577,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1975,FALSE
0,0,1.8004852000483311,0,0,0,0,63.099998474121094,0,0,0,0,0,8.284382820129395,14.713563919067383,0.4658099412918091,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1976,FALSE
0,0,1.664617434011436,0,0,0,0,63.099998474121094,0,0,0,0,0,8.284382820129395,14.735414505004883,0.49995672702789307,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1977,FALSE
0,0,1.7023694451951035,0,0,0,0,63.099998474121094,0,0,0,0,0,8.284382820129395,14.756836891174316,0.4695790410041809,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1978,FALSE
0,0,1.7656547310454227,0,0,0,0,63.099998474121094,0,0,0,0,0,8.284382820129395,14.777798652648926,1.2024461030960083,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1979,FALSE
0,0,3,0,0,0,0,52.5,0,0,0,0,0,8.284382820129395,14.798116683959961,0.7624645233154297,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1980,FALSE
0,0,3,0,0,0,0,52.5,0,0,0,0,0,8.284382820129395,14.817710876464844,0.9057451486587524,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1981,FALSE
0,0,3,0,0,0,0,52.5,0,0,0,0,0,8.284382820129395,14.837997436523438,0.6809933185577393,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1982,FALSE
0,0,3,0,0,0,0,52.5,0,0,0,0,0,8.284382820129395,14.858370780944824,0.502048909664154,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1983,FALSE
0,0,3,0,0,0,0,52.5,0,0,0,0,0,8.284382820129395,14.878841400146484,0.4683202803134918,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1984,FALSE
0,0,3,0,0,0,0,46.900001525878906,0,0,0,0,0,8.284382820129395,14.899584770202637,0.374875009059906,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1985,FALSE
0,0,3,0,0,0,0,46.900001525878906,0,0,0,0,0,8.284382820129395,14.919256210327148,0.18074873089790344,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1986,FALSE
0,0,3,0,0,0,0,46.900001525878906,0,0,0,0,0,8.284382820129395,14.938919067382813,0.19222865998744965,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1987,FALSE
0,0,3,0,0,0,0,46.900001525878906,0,0,0,0,0,8.284382820129395,14.95872688293457,0.13508084416389465,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1988,FALSE
0,0,3,0,0,0,0,46.900001525878906,0,0,0,0,0,8.284382820129395,14.977348327636719,0.1657850295305252,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1989,FALSE
0,1.7905114509630948e-4,3,0,4,1,7,37.29999923706055,0,0,0,1,0,8.284382820129395,14.994405746459961,0.1998644918203354,0,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1990,FALSE
0,0.0026698144930586885,2.5,0,3,3,8,37.29999923706055,0,0,0,1,0,7.641794681549072,15.007682800292969,0.12345963716506958,1,0.08787800371646881,0.46000000834465027,1,2.2705233097076416,0,1991,FALSE
0,0.01031902153044939,2,0,1,0,0,37.29999923706055,0,0,0,1,0,7.239652633666992,15.017431259155273,0.07647054642438889,1,0.08787800371646881,0.46000000834465027,0,2.2705233097076416,0,1992,FALSE
0,0.023447882384061813,2,0,0,0,2,37.29999923706055,0,0,0,1,0,7.527949810028076,15.0249662399292,0.05981973931193352,1,0.08787800371646881,0.46000000834465027,0,2.2705233097076416,0,1993,FALSE
0,8.934922516345978e-4,2.5,0,0,0,0,37.29999923706055,0,0,0,1,0,7.764389514923096,15.032918930053711,0.049722958356142044,1,0.08787800371646881,0.46000000834465027,0,2.2705233097076416,0,1994,FALSE
